producto_id,nombre,categoria,precio,costo,fecha_alta
1,Espresso Chico,Cafe caliente,34,12.58,2024-04-15
2,Espresso Mediano,Cafe caliente,44,15.4,2020-12-29
3,Espresso Grande,Cafe caliente,54,19.44,2022-08-11
4,Americano Chico,Cafe caliente,36,12.24,02/11/2022
5,Americano Mediano,Cafe caliente,46,18.4,2021-12-16
6,Americano Grande,Cafe caliente,56,21.28,2024-05-02
7,Latte Chico,Cafe caliente,38,,18/01/2024
8,Latte Mediano,Cafe caliente,48,19.68,07/08/2021
9,Latte Grande,Cafe caliente,58,19.72,2022-10-08
10,Capuchino Chico,Cafe caliente,36,12.96,2021-07-21
11,Capuchino Mediano,Cafe caliente,46,17.02,2022-06-14
12,Capuchino Grande,Cafe caliente,56,20.16,2021-06-21
13,Mocha Chico,Cafe caliente, 36.00 ,12.6,2022-06-25
14,Mocha Mediano,Cafe caliente,46,17.02,2021-12-17
15,Mocha Grande,Cafe caliente,56,20.16,31/07/2023
16,Cortado Chico,Cafe caliente,34,13.6,2021-11-26
17,Cortado Mediano,Cafe caliente,44,18.04,2021-05-07
18,Cortado Grande,Cafe caliente,54,18.9,22/07/2023
19,Flat White Chico,Cafe caliente,34,12.92,16/03/2022
20,Flat White Mediano,Cafe caliente,44,17.16,2021-10-11
21,Flat White Grande,Cafe caliente,54,17.82,2023-02-10
22,Macchiato Chico,Cafe caliente,38,15.2,25/02/2022
23,Macchiato Mediano,Cafe caliente,48,19.2,2023-09-14
24,Macchiato Grande,Cafe caliente,58,19.72,2024-08-26
25,Chocolate caliente Chico,Cafe caliente,34,12.92,2022-04-08
26,Chocolate caliente Mediano,Cafe caliente,44,17.6,2022-10-26
27,Chocolate caliente Grande,Cafe caliente,54,22.14,2022-02-11
28,Chai latte Chico,Cafe caliente,36,12.96,2022-05-27
29,Chai latte Mediano,Cafe caliente,46,17.02,18/03/2023
30,Chai latte Grande,Cafe caliente,56,19.04,2024-04-14
31,Cold brew Chico,Cafe frio,55,23.1,12/12/2021
32,Cold brew Mediano,Cafe frio,68,24.48,2023-10-24
33,Cold brew Grande,Cafe frio,81,37.26,24/02/2022
34,Frappe de cafe Chico,Cafe frio,52,21.32,2022-10-05
35,Frappe de cafe Mediano,Cafe frio,65,21.45,2022-07-13
36,Frappe de cafe Grande,Cafe frio,78,67.08,27/04/2024
37,Frappe de chocolate Chico,cafe frio,52,19.76,2024-05-15
38,Frappe de chocolate Mediano,cafe frio, 65.00 ,26.65,2024-02-28
39,Frappe de chocolate Grande,cafe frio,78,31.98,2023-05-02
40,Latte helado Chico,Cafe frio,58,24.94,2024-10-22
41,Latte helado Mediano,Cafe frio,71,25.56,29/01/2022
42,Latte helado Grande,Cafe frio,84,35.28,2021-10-11
43,Affogato Chico,Cafe frio,52,20.28,26/06/2021
44,Affogato Mediano,Cafe frio,65,28.6,2024-05-13
45,Affogato Grande,Café frío,78,29.64,29/01/2024
46,Te helado Chico,cafe frio,58,20.88,2024-01-02
47,Te helado Mediano,cafe frio,71,27.69,2024-10-04
48,Te helado Grande,cafe frio,84,37.8,2024-06-04
49,Limonada natural Chico,Cafe frio,52,22.88,2024-09-10
50,Limonada natural Mediano,Cafe frio,65,20.8,2021-01-03
51,Limonada natural Grande,cafe frio,78,28.08,27/02/2024
52,Matcha helado Chico,Cafe frio,55,24.75,2023-11-18
53,Matcha helado Mediano,cafe frio,68,23.12,2022-05-28
54,Matcha helado Grande,cafe frio,81,33.21,2023-07-13
55,Cheesecake,Pasteleria,48,20.64,2021-03-17
56,Pay de queso,Pasteleria,55,19.25,2024-07-26
57,Brownie,Pasteleria,72,34.56,15/02/2022
58,Tarta de manzana,Pasteleria,48,17.28,2021-12-09
59,Rebanada de chocolate,Pasteleria,55,20.35,26/08/2022
60,Carrot cake,Pasteleria,62,25.42,2024-05-24
61,Tiramisu,PASTELERIA,72,51.84,2023-05-12
62,Flan napolitano,Pasteleria,72,30.24,2022-07-04
63,Galleta de avena,Pastelería,62,25.42,2022-02-18
64,Muffin de arandano,Pasteleria,72,25.92,21/04/2023
65,Red velvet,PASTELERIA,48,23.04,25/04/2024
66,Pan de elote,Pasteleria,72,31.68,2021-01-29
67,Croissant,Panaderia,22,9.68,2023-12-16
68,Concha,Panadería,26,9.88,26/10/2021
69,Cuernito,Panaderia,22,7.04,2021-09-20
70,Bisquet,Panadería,38,15.58,2021-09-06
71,Mantecada,Panadería, 26.00 ,10.4,2023-05-11
72,Dona glaseada,Panaderia,18,7.92,31/12/2020
73,Empanada de cajeta,Panaderia,18,7.38,2023-10-19
74,Garibaldi,Panaderia,18,6.84,2024-06-24
75,Oreja,Panaderia,26,11.44,2023-05-27
76,Polvoron,Panaderia,18,5.4,2023-05-25
77,Bolillo relleno,Panadería,30,13.2,2023-07-09
78,Dona de chocolate,Panaderia,18,6.3,09/09/2021
79,Sandwich de jamon,Snacks salados,125,65.0,2023-01-26
80,Panini caprese,Snacks salados,110,51.7,2021-05-22
81,Bagel con salmon,Snacks salados,72,36.72,2023-08-18
82,Quiche lorraine,Snacks salados,125,55.0,02/03/2024
83,Wrap de pollo,Snacks salados,95,47.5,2023-06-05
84,Ensalada cesar,Snacks salados,110,46.2,2024-07-06
85,Croque monsieur,Snacks salados,110,55.0,2022-12-26
86,Molletes,Snacks salados,95,45.6,2024-02-25
87,Chilaquiles cafeteria,Snacks salados,95,46.55,2024-09-21
88,Baguette de pavo,Snacks salados,125,63.75,2024-07-10
89,Cafe en grano Veracruz 250g,Para llevar,120,67.2,2021-05-14
90,Cafe en grano Veracruz 500g,Para llevar,210,98.7,27/11/2021
91,Cafe en grano Veracruz 1kg,Para llevar,380,190.0,27/02/2021
92,Cafe en grano Chiapas 250g,Para llevar,120,60.0,17/02/2024
93,Cafe en grano Chiapas 500g,Para llevar,210,105.0,30/06/2023
94,Cafe en grano Chiapas 1kg,Para llevar,380,216.6,2024-02-19
95,Cafe en grano Oaxaca 250g,Para llevar,120,57.6,2020-10-25
96,Cafe en grano Oaxaca 500g,Para llevar,210,123.9,2022-08-12
97,Cafe en grano Oaxaca 1kg,Para llevar,380,,23/07/2023
98,Cafe en grano Colima 250g,Para llevar,120,54.0,2022-02-25
99,Cafe en grano Colima 500g,Para llevar,210,107.1,23/01/2024
100,Cafe en grano Colima 1kg,Para llevar,380,224.2,31/10/2023
101,Capsulas compatibles x10,Para llevar,95,48.45,2021-12-15
102,Capsulas compatibles x20,Para llevar,175,98.0,2021-12-02
103,Cafe molido 250g,Para llevar,115,63.25,2021-02-23
104,Taza ceramica AzTech,Para llevar,150,85.5,2023-06-23
105,Termo AzTech,Para llevar,290,142.1,2021-01-11
106,Prensa francesa,Para llevar,420,210.0,2022-08-07
107,Filtros x100,Para llevar,70,37.8,14/07/2023
108,Agua mineral,Bebidas,55,25.85,2023-09-17
109,Jugo de naranja,Bebidas,38,15.2,05/10/2021
110,Smoothie de fresa,Bebidas,45,21.6,2023-02-01
111,Smoothie verde,Bebidas,32,11.84,2022-02-13
112,Kombucha de jamaica,Bebidas,28,13.72,2021-11-26
113,Refresco artesanal,Bebidas, 45.00 ,21.15,13/05/2024
114,Te en botella,Bebidas,38,15.58,24/01/2024
115,Leche de avena,Bebidas,28,14.0,2023-08-15
116,Limonada de coco,Bebidas,55,22.0,19/08/2022
117,Jugo verde detox,Bebidas,45,19.35,2021-03-23
118,Macaron,Pasteleria,48,23.52,16/01/2024
119,Eclair,Pasteleria,68,26.52,2024-08-08
120,Profiterol,Pasteleria,48,17.76,2021-10-20
121,Selva negra,PASTELERIA,58,23.2,12/10/2023
122,Volcan de chocolate,PASTELERIA,35,16.8,2022-06-20
123,Cupcake,PASTELERIA,58,27.26,2021-10-28
124,Mini dona x3,Pasteleria,48,22.08,2023-01-27
125,Strudel,Pasteleria,48,17.76,2021-12-13
126,Rol de canela,Panaderia,20,8.6,2023-02-21
127,Trenza de chocolate,Panaderia,26,9.88,2023-06-12
128,Chausson de manzana,Panadería,26,8.32,2024-03-27
129,Brioche,Panadería,20,7.2,16/03/2021
130,Pan integral rebanada,Panadería,20,7.0,2024-02-28
131,Bisquet integral,Panadería,26,10.92,13/04/2022
132,Chocolate de mesa 200g,Para llevar,480,240.0,06/05/2024
133,Mermelada artesanal,Para llevar,250,142.5,2021-02-15
134,Miel de abeja 500g,Para llevar,120,57.6,2021-09-08
135,Granola AzTech 400g,Para llevar,160,80.0,2021-02-25
136,Set 2 tazas,Para llevar,250,127.5,2022-03-29
137,Cafetera de goteo,Para llevar,120,69.6,15/11/2022
138,Molino manual,Para llevar,250,142.5,24/08/2023
139,Pan de muerto,Temporada,45,16.65,2021-02-25
140,Rosca de reyes,Temporada,260,119.6,29/12/2022
141,Frappe de calabaza,Temporada,78,37.44,2022-05-06
142,Latte de canela,Temporada,52,20.28,02/05/2023
143,Ponche navideno,Temporada,55,21.45,09/09/2021
144,Chocolate de temporada,Temporada,60,28.2,13/08/2021
130,Pan integral rebanada,Panaderia,20,7.0,2024-02-28
90,Cafe en grano Veracruz 500g,Para llevar,210,98.7,2021-11-27
